stco,year,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,ppt1,ppt2
10001,2001,26.002,66.603,21.684,11.713,149.657,0.21,0.21,5.111,50,4.11,714.775,657.731
10001,2006,26.044,66.541,21.718,11.741,150.986,0.21,0.211,5.109,50,4.118,545.298,852.005
10001,2011,26.061,66.523,21.726,11.751,151.229,0.211,0.211,5.108,50,4.12,839.907,948.64
10003,1992,26.464,54.498,30.337,15.165,118.799,0.252,0.269,5.441,96.298,4.275,541.23,595.526
10003,2001,26.136,54.691,30.317,14.992,109.555,0.25,0.266,5.463,127.464,4.3,617.021,563.944
10003,2006,26.218,54.406,30.514,15.08,111.448,0.251,0.268,5.465,128.25,4.309,609.286,903.933
10003,2011,26.243,54.312,30.58,15.108,112.53,0.252,0.269,5.464,128.655,4.312,917.727,1060.444
10005,1992,21.982,74.037,15.869,10.094,178.998,0.153,0.153,5.119,50,4.329,567.063,646.214
10005,2001,22.033,74.067,15.81,10.123,178.755,0.153,0.153,5.113,50,4.339,741.966,676.916
10005,2006,22.062,74.031,15.825,10.144,179.749,0.153,0.153,5.112,50,4.341,535.861,867.473
10005,2011,22.078,74.015,15.83,10.156,179.838,0.153,0.153,5.112,50,4.341,706.308,803.165
12001,1992,19.463,82.232,6.805,10.962,106.978,0.094,0.094,5.289,46.87,4.816,752.561,925.297
12001,2001,19.349,82.434,6.735,10.831,102.165,0.094,0.094,5.282,47.028,4.841,797.04,841.05
12001,2006,19.354,82.438,6.733,10.829,102.235,0.094,0.094,5.281,47.03,4.844,538.583,642.602
12001,2011,19.423,82.329,6.778,10.893,102.216,0.094,0.094,5.281,46.966,4.842,620.275,812.705
12003,1992,19.109,79.849,5.396,14.755,108.404,0.124,0.124,4.928,46,4.979,869.907,1108.737
12003,2001,19.256,79.975,5.421,14.604,110.132,0.124,0.124,4.927,46.003,4.979,774.173,851.059
12003,2006,19.274,79.966,5.423,14.61,110.238,0.124,0.124,4.926,46.003,4.979,434.622,599.664
12003,2011,19.259,79.954,5.418,14.628,110.001,0.124,0.124,4.928,46.003,4.979,590.189,757.939
12005,1992,14.237,91.011,4.03,4.959,247.857,0.049,0.049,5.099,46,4.914,867.98,889.204
12005,2001,15.484,89.802,4.351,5.847,231.246,0.056,0.056,5.019,46,4.932,924.568,887.861
12005,2006,15.173,89.967,4.3,5.734,209.331,0.054,0.054,5.026,46,4.94,487.529,677.693
12005,2011,15.152,90.016,4.278,5.705,210.381,0.054,0.054,5.03,46,4.939,632.558,625.209
12007,1992,17.611,83.696,4.768,11.536,165.44,0.084,0.084,5.235,46,4.975,775.677,980.877
12007,2001,17.969,82.98,4.759,12.261,160.291,0.088,0.088,5.243,46,4.983,743.022,810.263
12007,2006,17.971,82.977,4.761,12.262,160.405,0.088,0.088,5.243,46,4.983,416.527,546.573
12007,2011,17.988,82.928,4.734,12.338,159.663,0.088,0.088,5.246,46,4.983,612.601,843.421
12009,1992,17.243,87.972,3.15,8.878,1320.266,0.074,0.074,6.483,46,4.296,789.47,967.444
12009,2001,17.057,87.459,3.241,9.3,1115.095,0.076,0.076,6.514,46,4.398,859.593,1169.569
12009,2006,17.16,87.313,3.26,9.426,1128.23,0.077,0.077,6.519,46,4.39,647.654,795.588
12009,2011,17.207,87.274,3.264,9.462,1140.525,0.077,0.077,6.52,46,4.384,727.202,1131.94
12011,1992,10.053,93.38,2.492,4.129,1610.945,0.036,0.036,6.59,46,2.124,913.17,995.809
12011,2001,6.405,93.971,2.116,3.913,823.058,0.032,0.032,6.705,46,1.781,760.073,1066.82
12011,2006,6.094,93.792,2.221,3.986,733.803,0.031,0.032,6.725,46,1.793,703.358,875.24
12011,2011,5.927,93.604,2.325,4.071,721.677,0.031,0.032,6.741,46,1.761,700.157,1093.346
12013,1992,22.268,72.049,10.307,17.644,107.395,0.151,0.151,5.038,45.838,4.932,859.703,860.993
12013,2001,22.431,71.075,10.281,18.644,90.629,0.158,0.158,5.058,45.788,4.95,992.834,945.414
12013,2006,22.294,71.31,10.194,18.496,88.613,0.157,0.157,5.06,45.788,4.952,585.225,781.576
12013,2011,22.035,71.851,10.041,18.108,87.291,0.154,0.154,5.06,45.791,4.953,602.154,605.982
12015,1992,15.624,91.537,2.013,6.45,386.002,0.087,0.087,5.995,46,4.389,1015.761,1112.693
12015,2001,15.402,91.718,2.053,6.229,331.164,0.084,0.084,5.878,46,4.515,894.455,1158.104
12015,2006,15.406,91.706,2.053,6.242,331.703,0.085,0.085,5.88,46,4.515,780.824,969.386
12015,2011,15.428,91.704,2.054,6.242,332.759,0.085,0.085,5.878,46,4.518,834.117,1119.434
12017,1992,12.035,93.88,1.969,4.151,90.927,0.038,0.038,5.341,49.302,4.938,837.618,1055.819
12017,2001,12.512,93.163,2.158,4.678,93.59,0.042,0.042,5.367,47.97,4.867,872.346,1038.585
12017,2006,12.522,93.148,2.163,4.689,93.789,0.042,0.042,5.368,47.948,4.866,610.259,784.822
12017,2011,12.522,93.168,2.159,4.673,94.405,0.042,0.042,5.362,47.916,4.878,882.799,949.594
12019,1992,13.808,91.59,3.624,4.786,166.73,0.069,0.069,4.952,46.039,4.941,750.694,1044.82
12019,2001,13.071,92.768,3.149,4.083,188.345,0.056,0.056,4.955,46.03,4.95,694.281,867.831
12019,2006,13.067,92.769,3.148,4.083,188.622,0.056,0.056,4.955,46.03,4.95,394.045,525.268
12019,2011,13.102,92.702,3.171,4.127,190.854,0.056,0.056,4.956,46.03,4.949,576.533,767.298
12021,1992,15.308,91.605,2.055,6.34,230.96,0.073,0.073,5.944,46,4.479,947.462,1056.923
12021,2001,15.913,91.443,2.174,6.384,195.504,0.075,0.075,5.712,46,4.733,1001.482,1376.532
12021,2006,15.937,91.42,2.177,6.403,196.011,0.076,0.076,5.714,46,4.735,898.663,1110.137
12021,2011,15.963,91.386,2.184,6.431,196.53,0.076,0.076,5.719,46,4.736,822.656,1179.34
12023,1992,16.958,84.384,4.842,10.775,88.564,0.137,0.137,5.135,46,4.908,759.984,888.837
12023,2001,16.995,84.286,4.857,10.857,87.095,0.137,0.137,5.134,46,4.913,750.066,782.185
12023,2006,17,84.273,4.858,10.869,86.969,0.137,0.137,5.134,46,4.913,471.175,599.382
12023,2011,17,84.286,4.856,10.858,86.652,0.138,0.138,5.135,46,4.914,604.066,772.036
12027,1992,16.97,92.749,2.476,4.775,334.002,0.071,0.071,5.535,46,4.865,924.168,1029.956
12027,2001,16.316,93.109,2.431,4.46,245.289,0.068,0.068,5.5,46,4.924,888.251,1177.975
12027,2006,16.321,93.106,2.432,4.462,245.446,0.068,0.068,5.5,46,4.924,675.296,849.092
12027,2011,16.323,93.103,2.433,4.464,245.369,0.068,0.068,5.501,46,4.924,854.6,1028.597
12029,1992,12.343,92.219,2.875,4.906,87.6,0.051,0.051,5.349,46,4.904,778.299,920.246
12029,2001,13.664,91.968,2.899,5.133,122.421,0.056,0.056,5.43,46,4.874,828.221,803.746
12029,2006,13.663,91.969,2.899,5.132,122.407,0.056,0.056,5.43,46,4.874,499.593,632.561
12029,2011,13.569,91.993,2.89,5.117,120.305,0.056,0.056,5.432,46,4.873,671.365,827.168
12031,1992,23.117,86.32,4.886,8.795,314.887,0.112,0.112,4.889,46.004,4.916,804.779,1119.756
12031,2001,25.429,85.68,5.027,9.293,339.182,0.126,0.126,4.813,46,4.938,697.916,895.089
12031,2006,25.364,85.439,5.143,9.418,336.514,0.127,0.127,4.809,46,4.942,484.632,622.259
12031,2011,25.256,85.302,5.213,9.485,334.005,0.127,0.127,4.811,46,4.941,531.455,738.487
12033,1992,24.53,66.707,15.512,17.78,163.673,0.178,0.178,5.021,46.505,4.964,787.935,866.212
12033,2001,26.684,61.138,17.9,20.961,128.564,0.204,0.204,4.999,46.752,4.977,948.439,839.136
12033,2006,26.726,60.984,17.962,21.054,127.219,0.205,0.205,4.998,46.764,4.978,577.141,752.73
12033,2011,26.752,60.888,17.998,21.113,126.56,0.205,0.205,4.998,46.769,4.978,628.454,726.333
12035,1992,17.777,84.054,4.536,11.41,187.791,0.111,0.111,6.569,46,4.969,732.441,955.666
12035,2001,17.459,83.242,4.818,11.94,169.956,0.114,0.114,6.594,46,4.98,847.584,1053.164
12035,2006,17.467,83.219,4.822,11.959,169.202,0.115,0.115,6.597,46,4.98,402.049,479.858
12035,2011,17.483,83.233,4.814,11.952,168.936,0.114,0.114,6.602,46,4.98,622.539,872.657
12037,1992,15.805,94.966,2.401,2.633,256.808,0.038,0.038,4.982,46,4.957,784.536,985.28
12037,2001,14.155,93.61,2.745,3.645,259.561,0.046,0.046,4.87,46,4.937,859.147,766.127
12037,2006,14.155,93.61,2.745,3.645,259.561,0.046,0.046,4.87,46,4.937,562.14,873.776
12037,2011,14.352,93.5,2.769,3.731,265.058,0.048,0.048,4.822,46,4.933,568.54,753.448
12039,1992,22.423,72.015,8.714,19.271,204.567,0.152,0.152,5.145,44.654,4.959,782.456,786.619
12039,2001,22.384,71.504,8.814,19.682,104.081,0.155,0.155,5.16,44.426,4.988,925.69,844.944
12039,2006,22.435,71.42,8.828,19.752,104.11,0.155,0.155,5.159,44.413,4.989,529.077,696.954
12039,2011,22.445,71.373,8.845,19.782,103.909,0.156,0.156,5.159,44.403,4.989,545.868,635.781
12041,1992,14.315,89.557,3.497,6.946,56.83,0.057,0.057,5.235,46,4.898,777.643,908.308
12041,2001,14.207,90.104,3.32,6.576,64.384,0.054,0.054,5.213,46,4.902,799.717,774.864
12041,2006,14.207,90.104,3.32,6.576,64.386,0.054,0.054,5.213,46,4.902,551.318,668.452
12041,2011,14.224,90.084,3.324,6.592,64.857,0.054,0.054,5.213,46,4.903,667.96,855.926
12043,1992,16.473,94.045,1.868,4.087,824.574,0.053,0.053,5.896,46,4.021,836.569,890.83
12043,2001,15.886,94.274,1.771,3.955,625.909,0.053,0.053,5.933,46,4.159,716.866,933.219
12043,2006,15.889,94.267,1.764,3.969,629.286,0.053,0.053,5.941,46,4.158,660.681,791.552
12043,2011,15.907,94.285,1.77,3.946,619.427,0.053,0.053,5.925,46,4.169,748.163,1008.528
12045,1992,18.751,80.132,6.461,13.407,167.602,0.121,0.121,5.127,45.942,4.907,924.669,1054.772
12045,2001,20.338,75.752,7.607,16.641,146.956,0.147,0.147,5.163,45.798,4.898,1029.188,938.172
12045,2006,20.032,76.007,7.581,16.412,136.246,0.145,0.145,5.187,45.785,4.894,528.238,818.502
12045,2011,20.278,75.402,7.753,16.845,141.364,0.149,0.149,5.188,45.764,4.893,640.641,719.794
12047,1992,15.853,86.048,5.169,8.783,95.661,0.071,0.071,5.007,46,4.988,788.608,829.15
12047,2001,15.752,85.712,5.274,9.014,91.148,0.074,0.074,5.012,46,4.99,786.461,768.124
12047,2006,15.715,85.834,5.247,8.919,90.609,0.073,0.073,5.009,46,4.991,441.27,578.006
12047,2011,15.654,85.824,5.258,8.918,88.965,0.073,0.073,5.007,46,4.992,524.221,610.247
12049,1992,15.638,92.815,2.087,5.098,221.577,0.062,0.062,5.213,46,4.963,923.013,1037.236
12049,2001,15.651,93.108,1.997,4.895,218.41,0.059,0.059,5.23,46,4.965,900.57,1192.813
12049,2006,15.637,93.12,1.997,4.884,218.007,0.059,0.059,5.23,46,4.965,602.298,792.187
12049,2011,15.623,93.126,1.997,4.877,218.123,0.059,0.059,5.231,46,4.965,773.958,971.283
12051,1992,15.885,91.394,2.739,5.867,1041.197,0.079,0.079,6.186,46,3.442,903.189,964.584
12051,2001,15.209,91.828,2.563,5.608,672.812,0.077,0.077,6.118,46,3.712,788.645,1038.399
12051,2006,15.208,91.831,2.563,5.606,673.174,0.077,0.077,6.118,46,3.712,733.945,883.685
12051,2011,15.208,91.828,2.564,5.609,674.007,0.077,0.077,6.119,46,3.711,887.779,1160.97
12053,1992,16.422,82.773,5.029,12.199,80.426,0.087,0.087,5.24,50.069,4.966,783.818,988.084
12053,2001,17.576,81.229,5.541,13.23,80.035,0.094,0.094,5.238,49.271,4.97,868.953,1013.46
12053,2006,17.622,81.219,5.538,13.243,80.051,0.093,0.093,5.236,49.227,4.971,493.331,693.041
12053,2011,17.607,81.257,5.526,13.217,79.929,0.093,0.093,5.236,49.239,4.971,909.009,935.293
12055,1992,17.684,93.142,2.626,4.232,914.24,0.057,0.057,5.538,46,4.283,854.78,968.533
12055,2001,17.209,93.434,2.548,4.018,941.166,0.055,0.055,5.508,46,4.303,756.528,1000.821
12055,2006,17.215,93.429,2.55,4.021,941.612,0.055,0.055,5.508,46,4.303,589.809,714.656
12055,2011,17.198,93.434,2.55,4.015,937.919,0.055,0.055,5.508,46,4.306,750.544,977.195
12057,1992,13.85,93.411,2.17,4.418,213.865,0.041,0.041,5.486,46.624,4.951,884.843,1067.844
12057,2001,14.108,93.418,2.22,4.362,216.659,0.042,0.042,5.419,46.543,4.957,882.56,1080.624
12057,2006,14.113,93.433,2.216,4.351,217.244,0.042,0.042,5.418,46.553,4.956,615.642,821.822
12057,2011,14.119,93.38,2.218,4.402,218.221,0.042,0.042,5.426,46.529,4.955,851.501,982.351
12059,1992,19.799,70.488,8.804,20.708,52.249,0.161,0.161,5.178,43.101,5,907.738,848.05
12059,2001,19.862,70.383,8.827,20.79,50.966,0.161,0.161,5.184,42.942,5,1052.278,863.07
12059,2006,19.864,70.425,8.812,20.763,50.971,0.161,0.161,5.185,42.958,5,471.335,590.483
12059,2011,19.878,70.395,8.817,20.787,50.823,0.161,0.161,5.185,42.941,5,520.688,530.568
12061,1992,20.209,86.631,4.393,8.977,1037.272,0.096,0.096,6.52,46,4.296,852.382,1012.623
12061,2001,18.944,85.94,4.262,9.799,614.948,0.103,0.103,6.741,46,4.535,850.333,1122.838
12061,2006,18.98,85.916,4.273,9.81,625.824,0.103,0.103,6.743,46,4.528,556.096,692.143
12061,2011,18.964,85.947,4.262,9.791,627.303,0.103,0.103,6.741,46,4.529,694.978,1149.983
12063,1992,20.703,71.835,8.609,19.556,59.867,0.136,0.136,5.139,42.957,4.98,849.461,801.81
12063,2001,20.698,71.854,8.624,19.523,57.589,0.136,0.136,5.145,42.811,4.982,945.489,804.046
12063,2006,20.62,72.062,8.58,19.358,56.294,0.135,0.135,5.145,42.854,4.983,483.705,625.409
12063,2011,20.624,72.05,8.575,19.374,55.986,0.135,0.135,5.145,42.844,4.982,540.968,539.483
12065,1992,22.033,70.109,7.399,22.492,104.8,0.14,0.14,5.144,50.965,4.989,724.97,729.499
12065,2001,21.446,71.328,7.122,21.55,109.932,0.136,0.136,5.142,50.32,4.988,864.099,779.237
12065,2006,21.455,71.305,7.121,21.574,110.107,0.136,0.136,5.142,50.312,4.988,488.073,644.551
12065,2011,21.504,71.134,7.126,21.741,108.454,0.136,0.136,5.139,50.304,4.989,589.844,652.192
12067,1992,13.358,92.513,2.824,4.663,82.916,0.046,0.046,5.456,46,4.983,732.636,844.929
12067,2001,13.4,92.354,2.872,4.774,85.453,0.046,0.046,5.455,46,4.982,826.314,730.702
12067,2006,13.412,92.338,2.875,4.787,85.097,0.047,0.047,5.455,46,4.982,522.028,651.848
12067,2011,13.326,92.491,2.818,4.691,81.848,0.046,0.046,5.454,46,4.985,640.15,727.849
12069,1992,16.097,92.201,2.984,4.814,758.257,0.052,0.052,5.444,46.01,4.776,839.45,1017.677
12069,2001,15.19,92.277,3.128,4.595,539.567,0.05,0.05,5.39,46.012,4.854,757.586,912.648
12069,2006,15.225,92.225,3.147,4.628,537.304,0.05,0.05,5.39,46.012,4.855,517.266,652.842
12069,2011,15.049,92.172,3.164,4.664,502.132,0.05,0.05,5.385,46.013,4.862,811.353,917.886
12071,1992,12.92,92.336,2.249,5.415,154.981,0.074,0.074,5.968,46,4.183,1076.251,1168.005
12071,2001,13.67,92.49,2.229,5.282,149.92,0.076,0.076,5.863,46,4.333,961.492,1234.521
12071,2006,13.722,92.412,2.25,5.338,150.036,0.077,0.077,5.864,46,4.342,866.863,1107.49
12071,2011,13.776,92.297,2.285,5.419,150.559,0.077,0.077,5.862,46,4.348,887.816,1255.299
12073,1992,20.979,71.793,6.513,21.694,97.354,0.143,0.143,5.338,46.103,4.992,757.15,773.756
12073,2001,20.118,74.132,6.135,19.733,96.447,0.139,0.139,5.331,46.065,4.991,1014.055,921.733
12073,2006,20.105,74.165,6.125,19.71,96.596,0.139,0.139,5.331,46.066,4.991,508.728,714.822
12073,2011,19.997,74.424,6.07,19.506,96.41,0.138,0.138,5.335,46.069,4.991,582.142,638.201
12075,1992,12.674,91.137,2.738,6.126,74.454,0.055,0.055,5.616,46,4.494,821.321,916.966
12075,2001,12.589,91.512,2.659,5.829,85.625,0.054,0.054,5.609,46,4.5,904.187,988.471
12075,2006,12.591,91.523,2.658,5.82,86.007,0.054,0.054,5.609,46,4.501,579.056,731.064
12075,2011,12.586,91.526,2.652,5.821,85.628,0.054,0.054,5.606,46,4.502,700.142,862.77
12077,1992,19.006,80.194,6.722,13.084,92.754,0.11,0.11,5.045,45.863,4.966,860.952,895.13
12077,2001,17.879,83.045,5.876,11.079,81.259,0.095,0.095,5.083,45.883,4.986,1131.615,1086.462
12077,2006,17.868,83.045,5.884,11.071,81.394,0.095,0.095,5.083,45.882,4.986,555.607,775.882
12077,2011,17.939,82.93,5.881,11.189,79.069,0.096,0.096,5.083,45.875,4.989,633.793,683.271
12079,1992,17.134,80.456,5.659,13.884,163.746,0.085,0.085,4.871,45.922,4.95,784.009,827.618
12079,2001,17.569,79.263,5.709,15.027,143.346,0.089,0.089,4.866,45.893,4.956,757.283,659.781
12079,2006,17.375,79.869,5.64,14.491,140.198,0.088,0.088,4.864,45.898,4.958,487.992,641.673
12079,2011,17.244,80.179,5.609,14.211,138.213,0.088,0.088,4.86,45.902,4.961,592.737,680.122
12081,1992,13.959,92.229,3.149,4.622,269.812,0.064,0.064,5.402,46,4.627,1052.542,1195.965
12081,2001,14.089,92.5,3.11,4.39,281.707,0.061,0.061,5.359,46,4.598,855.972,1060.064
12081,2006,14.085,92.527,3.1,4.372,280.196,0.06,0.06,5.356,46,4.591,687.198,905.868
12081,2011,14.101,92.546,3.096,4.358,282.406,0.06,0.06,5.353,46,4.582,755.974,890.816
12083,1992,17.336,84.494,3.908,11.598,232.966,0.069,0.069,5.272,46,4.894,730.382,923.212
12083,2001,17.201,83.823,3.948,12.229,87.204,0.072,0.072,5.226,46,4.957,758.708,872.557
12083,2006,17.289,83.668,3.977,12.355,88.375,0.072,0.072,5.224,46,4.957,615.926,753.775
12083,2011,17.352,83.577,3.993,12.429,88.731,0.073,0.073,5.223,46,4.956,678.803,868.862
12085,1992,17.101,90.854,2.405,6.741,462.485,0.088,0.088,6.167,46,4.144,940.154,1128.859
12085,2001,16.558,90.116,2.423,7.461,311.411,0.092,0.092,6.369,46,4.306,749.91,1051.664
12085,2006,16.556,90.108,2.424,7.468,311.171,0.092,0.092,6.372,46,4.306,530.899,664.877
12085,2011,16.527,90.106,2.421,7.473,305.712,0.092,0.092,6.375,46,4.312,562.18,861.662
12086,1992,5.168,43.022,43.394,13.584,299.33,0.177,0.269,7.864,46,1.472,1015.743,1110.459
12086,2001,3.742,28.388,55.422,16.19,245.354,0.168,0.28,7.886,46,1.137,921.524,1380.55
12086,2006,3.365,30.118,53.657,16.225,226.421,0.159,0.275,7.881,46,1.105,735.249,932.612
12086,2011,3.258,29.998,53.724,16.278,213.994,0.159,0.274,7.88,46,1.099,798.454,1232.12
12087,1992,9.667,56.07,34.899,9.031,519.996,0.222,0.288,7.758,46,3.104,832.999,966.138
12089,1992,22.549,82.407,6.386,11.207,301.086,0.102,0.102,5.416,46.037,4.805,865.885,1140.188
12089,2001,22.506,84.755,5.793,9.452,256.078,0.099,0.099,5.235,46.006,4.887,690.417,792.036
12089,2006,22.487,84.783,5.783,9.434,256.214,0.099,0.099,5.232,46.006,4.888,527.68,656.381
12089,2011,22.463,84.513,5.879,9.608,253.065,0.099,0.099,5.245,46.006,4.886,556.797,799.076
12091,1992,19.083,76.314,9.427,14.259,156.627,0.127,0.129,5.105,45.612,4.967,878.945,871.977
12091,2001,19.492,74.914,9.724,15.362,85.101,0.135,0.137,5.109,45.584,4.989,1003.06,872.237
12091,2006,19.379,75.251,9.609,15.141,84.795,0.133,0.135,5.107,45.63,4.99,498.967,638.305
12091,2011,19.569,74.736,9.782,15.482,82.221,0.136,0.138,5.105,45.579,4.99,679.581,790.794
12093,1992,15.632,93.656,2.302,4.042,332.083,0.045,0.045,5.344,46,4.886,806.372,935.814
12093,2001,15.201,93.767,2.349,3.884,298.079,0.044,0.044,5.326,46,4.907,800.743,1029.554
12093,2006,15.198,93.769,2.349,3.882,298.04,0.044,0.044,5.325,46,4.907,522.789,640.165
12093,2011,15.189,93.772,2.35,3.878,297.196,0.044,0.044,5.325,46,4.907,630.038,945.589
12095,1992,18.973,92.979,2.67,4.351,1348.934,0.063,0.063,5.498,47.748,4.453,838.693,1038.791
12095,2001,18.644,92.824,2.773,4.402,1246.688,0.061,0.061,5.485,47.365,4.517,794.237,995.962
12095,2006,19.161,92.599,2.871,4.53,1339.379,0.064,0.064,5.51,47.308,4.479,585.093,731.251
12095,2011,19.354,92.506,2.914,4.58,1374.302,0.065,0.065,5.519,47.238,4.467,802.279,1008.194
12097,1992,13.254,92.389,3.017,4.594,329.979,0.051,0.051,5.408,46,4.892,881.223,1024.305
12097,2001,12.718,92.446,3.066,4.488,270.789,0.05,0.05,5.381,46,4.935,793.232,1008.229
12097,2006,12.728,92.428,3.07,4.503,271.973,0.05,0.05,5.381,46,4.934,626.337,746.16
12097,2011,12.725,92.41,3.074,4.516,269.275,0.05,0.05,5.382,46,4.935,852.983,1239.131
12099,1992,41.315,93.543,2.59,3.867,8663.409,0.023,0.023,6.472,46,1.855,875.857,1061.854
12099,2001,41.694,92.586,2.943,4.471,8822.073,0.023,0.023,6.512,46,1.783,745.291,997.061
12099,2006,42.55,92.725,2.912,4.363,9021.464,0.023,0.023,6.513,46,1.751,726.731,846.837
12099,2011,42.764,92.706,2.917,4.376,9054.143,0.023,0.023,6.513,46,1.753,719.898,989.774
12101,1992,15.909,89.849,3.86,6.29,175.313,0.063,0.063,5.224,46.652,4.956,840.3,1048.659
12101,2001,16.526,88.71,4.207,7.082,158.51,0.069,0.069,5.159,46.463,4.962,810.579,977.403
12101,2006,16.595,88.53,4.275,7.195,157.376,0.069,0.069,5.163,46.475,4.961,523.847,708.34
12101,2011,16.605,88.51,4.279,7.211,157.262,0.069,0.069,5.163,46.479,4.96,969.732,1075.983
12103,1992,13.967,94.457,1.99,3.553,228.027,0.04,0.04,5.776,46,4.957,763.251,962.836
12103,2001,13.887,96.234,1.465,2.301,212.891,0.029,0.029,5.188,46,4.981,847.355,1036.704
12103,2006,13.815,96.227,1.464,2.31,212.359,0.029,0.029,5.186,46,4.98,576.546,914.202
12103,2011,13.815,96.227,1.464,2.31,212.359,0.029,0.029,5.186,46,4.98,1010.18,1087.978
12105,1992,15.664,90.7,2.962,6.339,378.609,0.051,0.051,5.361,46.151,4.872,889.698,1045.565
12105,2001,16.142,92.044,2.962,4.994,446.216,0.054,0.054,5.285,46.144,4.835,794.928,1083.454
12105,2006,16.184,92.018,2.97,5.012,452.839,0.054,0.054,5.285,46.136,4.831,567.229,706.708
12105,2011,16.231,91.971,2.98,5.049,458.793,0.054,0.054,5.284,46.13,4.828,872.622,1085.663
12107,1992,18.759,90.736,4.129,5.134,581.682,0.075,0.075,5.121,46.867,4.806,771.389,1019.237
12107,2001,17.52,91.276,3.938,4.785,423.98,0.074,0.074,5.116,46.851,4.874,784.391,965.577
12107,2006,17.534,91.265,3.943,4.792,424.743,0.074,0.074,5.116,46.846,4.873,434.041,517.227
12107,2011,17.688,91.164,3.982,4.854,433.274,0.075,0.075,5.117,46.824,4.87,619.668,835.111
12109,1992,21.282,88.232,4.456,7.312,211.11,0.08,0.08,5.43,46,4.986,777.236,1098.027
12109,2001,21.667,88.071,4.503,7.425,195.234,0.082,0.082,5.408,46,4.995,753.342,1022.334
12109,2006,21.713,88.023,4.512,7.466,195.222,0.083,0.083,5.411,46,4.995,387.203,473.757
12109,2011,21.754,88.043,4.5,7.458,195.116,0.082,0.082,5.408,46,4.995,600.885,815.057
12111,1992,17.148,88.172,2.994,8.834,188.704,0.098,0.098,6.379,46,4.541,902.822,1038.61
12111,2001,17.027,86.77,3.409,9.821,164.791,0.104,0.104,6.617,46,4.626,813.853,1063.054
12111,2006,17.022,86.788,3.409,9.803,165.157,0.104,0.104,6.615,46,4.628,503.541,639.528
12111,2011,17.016,86.787,3.409,9.804,165.079,0.104,0.104,6.617,46,4.63,701.049,1049.894
12113,1992,20.9,75.069,8.877,16.054,108.766,0.122,0.122,5.3,44.941,4.973,813.601,891.835
12113,2001,21.889,72.654,9.464,17.882,109.561,0.136,0.136,5.31,44.72,4.976,925.158,823.045
12113,2006,21.915,72.579,9.475,17.946,109.367,0.136,0.136,5.31,44.714,4.976,621.54,767.454
12113,2011,21.962,72.527,9.482,17.991,109.464,0.136,0.136,5.311,44.694,4.977,713.877,814.334
12115,1992,19.625,91.32,2.699,5.982,291.863,0.071,0.071,5.859,46,4.934,1131.94,1264.039
12115,2001,19.74,91.395,2.686,5.92,289.091,0.071,0.072,5.829,46,4.939,942.842,1188.005
12115,2006,19.771,91.397,2.688,5.915,290.677,0.072,0.072,5.828,46,4.939,697.467,984.817
12115,2011,19.793,91.398,2.69,5.911,292.362,0.071,0.071,5.825,46,4.939,808.505,876.991
12117,1992,17.916,93.186,1.36,5.454,631.453,0.051,0.051,5.598,46,4.82,866.249,1085.539
12117,2001,18.213,93.304,1.325,5.372,470.62,0.053,0.053,5.613,46,4.896,834.63,1050.142
12117,2006,18.266,93.35,1.32,5.33,480.249,0.053,0.053,5.607,46,4.892,479.362,638.849
12117,2011,18.159,93.419,1.315,5.266,483.992,0.052,0.052,5.603,46,4.89,820.749,1061.851
12119,1992,16.908,88.247,3.528,8.225,261.569,0.063,0.063,5.651,46.244,4.886,799.884,981.411
12119,2001,17.381,86.71,3.899,9.391,164.543,0.069,0.07,5.683,46.114,4.935,814.55,975.327
12119,2006,17.538,86.484,3.951,9.565,167.214,0.07,0.071,5.689,46.084,4.933,493.601,630.084
12119,2011,17.615,86.34,3.988,9.672,162.697,0.071,0.072,5.693,46.072,4.937,817.78,893.604
12121,1992,16.953,83.947,5.109,10.944,72.402,0.073,0.073,5.354,46.001,4.971,819.635,899.134
12121,2001,17.182,83.516,5.152,11.332,73.797,0.075,0.075,5.342,46.001,4.974,808.44,766.543
12121,2006,17.177,83.534,5.149,11.317,73.804,0.075,0.075,5.342,46.001,4.974,490.891,630.575
12121,2011,17.167,83.559,5.137,11.305,73.642,0.075,0.075,5.343,46.001,4.974,617.262,709.503
12123,1992,16.091,92.538,2.63,4.832,309.051,0.059,0.059,5.057,46,4.813,736.162,826.209
12123,2001,15.745,92.469,2.597,4.933,237.07,0.059,0.059,5.018,46,4.856,775.349,717.611
12123,2006,15.738,92.48,2.593,4.927,237.329,0.059,0.059,5.017,46,4.856,550.631,717.701
12123,2011,15.895,92.35,2.638,5.012,247.304,0.06,0.06,5.02,46,4.853,563.257,623.348
12125,1992,17.836,81.881,5.331,12.788,117.9,0.093,0.093,4.944,46,4.993,766.874,938.116
12125,2001,18.121,81.648,5.338,13.014,118.594,0.095,0.095,4.892,46,4.994,758.761,808.387
12125,2006,18.125,81.644,5.338,13.018,118.6,0.095,0.095,4.892,46,4.994,418.095,540.835
12125,2011,18.155,81.508,5.361,13.131,119.252,0.095,0.096,4.894,46,4.994,596.384,885.892
12127,1992,14.469,92.441,2.641,4.918,285.513,0.058,0.058,5.363,46,4.916,787.572,1019.532
12127,2001,13.899,93.251,2.527,4.222,274.071,0.054,0.054,5.271,46,4.937,884.837,1140.455
