stco,year,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,ppt1,ppt2
1029,2006,21.4,43.535,31.665,24.799,50.834,0.276,0.307,5.173,29.144,4.53,532.745,656.221
1029,2011,21.4,43.537,31.665,24.798,50.826,0.276,0.307,5.173,29.147,4.53,621.305,549.031
1031,1992,23.545,59.876,16.959,23.165,68.668,0.203,0.206,5.077,71.867,4.955,840.275,816.058
1031,2001,23.584,59.871,16.84,23.289,68.636,0.202,0.205,5.084,72.873,4.941,974.481,761.418
1031,2006,23.604,59.924,16.81,23.266,68.962,0.202,0.205,5.085,73.103,4.941,448.705,567.987
1031,2011,23.596,59.931,16.813,23.255,69.05,0.202,0.205,5.084,73.166,4.941,565.342,583.382
1033,1992,32.659,16.089,41.98,41.932,81.891,0.259,0.265,5.212,51.149,4.79,656.954,697.271
1033,2001,32.45,16.111,42.043,41.846,82.964,0.26,0.266,5.212,50.865,4.766,787.439,982.429
1033,2006,32.435,16.108,42.069,41.824,82.963,0.261,0.267,5.213,50.833,4.765,522.911,657.628
1033,2011,32.41,16.105,42.077,41.818,82.971,0.261,0.267,5.213,50.786,4.764,889.609,911.851
1035,1992,25.185,51.824,20.74,27.436,52.619,0.218,0.22,5.142,60.998,4.95,722.447,741.925
1035,2001,25.004,51.995,20.835,27.17,52.974,0.22,0.222,5.104,57.193,4.939,1026.803,875.554
1035,2006,25.076,51.922,20.761,27.318,52.163,0.219,0.221,5.126,60.267,4.948,494.794,644.849
1035,2011,25.079,52.012,20.733,27.255,52.291,0.219,0.221,5.129,60.464,4.949,596.147,607.266
1037,1992,24.172,46.362,26.966,26.671,75.001,0.265,0.276,5.253,36.751,4.437,631.52,671.465
1037,2001,24.876,45.561,27.992,26.447,80.787,0.268,0.279,5.295,36.718,4.492,853.889,741.765
1037,2006,24.972,45.503,28.074,26.423,81.425,0.269,0.279,5.299,36.742,4.501,493.88,645.201
1037,2011,24.979,45.489,28.085,26.425,81.55,0.269,0.279,5.3,36.701,4.501,659.942,550.864
1039,1992,20.846,63.143,15.107,21.75,95.329,0.186,0.187,5.157,61.501,4.986,788.061,791.488
1039,2001,20.86,63.587,14.966,21.446,96.309,0.185,0.186,5.158,62.711,4.986,1023.957,822.585
1039,2006,20.902,63.38,14.995,21.625,94.256,0.185,0.186,5.155,62.645,4.987,477.975,579.234
1039,2011,20.907,63.344,15.009,21.647,94.017,0.185,0.186,5.155,62.657,4.987,559.696,612.961
1041,1992,24.002,61.044,15.359,23.598,67.714,0.199,0.199,5.074,67.173,4.972,724.253,745.227
1041,2001,23.873,61.119,15.312,23.569,67.104,0.2,0.2,5.065,65.744,4.956,966.1,748.633
1041,2006,23.939,61.049,15.381,23.569,67.425,0.2,0.2,5.067,66.588,4.963,452.525,575.057
1041,2011,23.95,61.121,15.379,23.5,67.832,0.2,0.2,5.068,66.215,4.964,558.299,542.378
1043,1992,16.897,39.063,34.587,26.35,72.783,0.298,0.311,4.931,38.573,3.129,670.105,755.108
1043,2001,16.162,39.045,34.508,26.447,70.913,0.292,0.311,4.942,37.432,3.038,856.344,923.475
1043,2006,16.18,39.072,34.498,26.43,71.022,0.292,0.31,4.942,37.454,3.039,584.954,818.627
1043,2011,16.186,39.098,34.481,26.422,71.084,0.292,0.31,4.942,37.462,3.039,928.992,941.539
1045,1992,21.654,65.627,14.087,20.286,62.466,0.205,0.205,5.089,71.027,4.906,752.847,694.373
1045,2001,21.689,65.26,14.268,20.472,64.385,0.205,0.206,5.088,71.833,4.9,929.368,723.653
1045,2006,21.682,65.241,14.235,20.523,63.766,0.205,0.205,5.089,72.115,4.902,396.66,515.128
1045,2011,21.676,65.3,14.201,20.499,63.857,0.205,0.205,5.089,72.155,4.903,532.845,517.412
1047,1992,25.734,36.053,29.037,34.91,89.478,0.241,0.241,5.972,49.132,4.518,526.097,595.597
1047,2001,25.618,36.401,28.892,34.707,89.43,0.239,0.239,5.965,49.22,4.526,835.079,738.309
1047,2006,25.532,35.78,29.064,35.155,89.458,0.24,0.24,5.992,49.357,4.508,459.863,509.055
1047,2011,25.483,35.797,29.058,35.145,89.48,0.24,0.24,5.997,49.322,4.504,621.99,571.343
1049,1992,17.034,43.225,33.295,23.481,83.387,0.3,0.31,4.77,40.784,2.886,674.976,755.393
1049,2001,16.531,43,33.303,23.698,82.474,0.293,0.306,4.78,40.013,2.87,768.064,739.108
1049,2006,16.523,43.058,33.273,23.669,82.479,0.293,0.306,4.78,40.012,2.866,457.481,658.778
1049,2011,16.525,43.099,33.252,23.65,82.436,0.294,0.306,4.779,40.029,2.864,818.527,868.394
1051,1992,20.274,53.517,20.464,26.02,91.081,0.219,0.223,5.154,43.846,4.326,602.333,622.95
1051,2001,20.449,53.235,20.772,25.993,93.966,0.221,0.224,5.155,44.362,4.339,871.137,662.292
1051,2006,20.439,53.199,20.778,26.023,93.866,0.221,0.224,5.157,44.405,4.328,499.406,531.628
1051,2011,20.421,53.234,20.737,26.028,93.634,0.221,0.224,5.156,44.447,4.326,619.763,558.298
1053,1992,26.118,50.926,24.582,24.491,158.953,0.2,0.201,5.119,77.129,4.968,781.301,811.201
1053,2001,26.1,51.676,24.086,24.238,154.522,0.197,0.198,5.121,77.329,4.971,990.342,804.735
1053,2006,26.075,50.647,24.643,24.709,154.316,0.2,0.2,5.12,79.747,4.971,550.642,735.1
1053,2011,26.117,50.472,24.752,24.776,153.711,0.2,0.201,5.119,80.032,4.971,605.139,617.288
1055,1992,19.384,31.773,38.711,29.515,91.872,0.274,0.31,4.955,40.143,3.916,668.01,775.053
1055,2001,19.09,31.558,38.795,29.647,93.937,0.272,0.31,4.948,39.385,3.88,838.778,829.472
1055,2006,19.018,31.603,38.741,29.656,93.719,0.271,0.309,4.946,39.399,3.862,484.578,621.594
1055,2011,19.021,31.628,38.749,29.623,93.797,0.271,0.309,4.945,39.397,3.862,801.421,818.54
1057,1992,22.895,45.865,31.548,22.587,53.673,0.307,0.323,4.862,43.696,4.399,629.092,668.988
1057,2001,22.762,46.413,31.385,22.202,57.29,0.311,0.322,4.862,47.125,4.394,831.481,951.172
1057,2006,22.741,46.411,31.381,22.208,57.322,0.311,0.322,4.861,47.185,4.392,465.764,709.135
1057,2011,22.773,46.443,31.375,22.183,57.284,0.311,0.322,4.862,47.16,4.395,911.991,933.214
1059,1992,19.54,40.596,31.741,27.663,68.197,0.269,0.295,5.181,38.199,4.034,675.889,767.963
1059,2001,19.757,39.462,32.142,28.396,69.343,0.272,0.296,5.202,38.578,4.016,863.007,1043.421
1059,2006,19.775,39.213,32.232,28.556,69.599,0.272,0.296,5.206,38.636,4.01,534.176,718.285
1059,2011,19.768,39.206,32.228,28.565,69.618,0.272,0.296,5.207,38.609,4.008,936.233,929.327
1061,1992,19.981,61.252,16.218,22.529,87.51,0.198,0.199,5.147,66.857,4.883,846.744,774.521
1061,2001,20.001,61.249,16.14,22.611,87.314,0.198,0.199,5.151,67.308,4.881,991.042,781.159
1061,2006,20.005,61.3,16.114,22.585,87.235,0.198,0.198,5.151,67.436,4.883,465.233,590.847
1061,2011,20.009,61.256,16.129,22.615,87.241,0.198,0.199,5.151,67.41,4.882,520.461,536.434
1063,1992,23.014,31.797,31.882,36.321,98.277,0.267,0.274,6.041,47.836,4.408,624.001,678.099
1063,2001,22.651,31.501,32.113,36.386,96.72,0.265,0.273,6.109,47.881,4.365,704.58,833.778
1063,2006,22.631,31.447,32.144,36.409,96.715,0.265,0.273,6.113,47.914,4.363,509.231,618.518
1063,2011,22.56,31.207,32.215,36.578,96.693,0.265,0.273,6.132,47.768,4.356,666.906,674.961
1065,1992,21.367,27.902,31.407,40.692,120.757,0.259,0.277,6.573,49.367,4.203,581.889,656.773
1065,2001,20.846,25.933,32.002,42.064,123.271,0.259,0.278,6.701,49.893,4.151,716.291,764.693
1065,2006,20.852,25.921,32.012,42.067,123.223,0.259,0.279,6.701,49.904,4.151,460.484,526.92
1065,2011,20.818,25.837,32.056,42.107,123.181,0.259,0.279,6.707,49.887,4.147,675.045,616.944
1067,1992,20.926,61.368,14.681,23.951,87.899,0.191,0.194,5.172,79.138,4.924,677.284,596.368
1067,2001,20.91,61.371,14.815,23.813,88.759,0.192,0.195,5.178,79.722,4.923,872.521,666.148
1067,2006,20.947,61.226,14.886,23.888,88.365,0.192,0.196,5.178,80.12,4.924,394.849,552.189
1067,2011,20.946,61.217,14.896,23.887,88.246,0.192,0.196,5.178,80.212,4.923,510.052,496.058
1069,1992,21.178,63.347,12.316,24.337,60.203,0.181,0.181,5.209,58.582,4.94,757.738,686.562
